ID;firstname;lastname;Salary;Sold;Sold1;Sold2;Status;Invest
1;Emerald;Hewitt;6569;58977;50455;86988;1;1
2;Lucius;Shelton;6107;71536;73222;65142;1;1
3;Flavia;Knox;5998;63899;58105;73416;1;1
4;Sacha;Gibbs;6077;67964;56509;79469;1;1
5;Allen;Roberts;6974;76708;60454;57928;1;1
6;Stacy;Black;6977;75094;86461;77889;1;1
7;Marny;Shepard;6520;62696;72495;69260;1;1
8;Flynn;Cash;7347;76388;60480;53277;1;1
9;Rogan;Page;5249;81301;64187;57727;1;1
10;Keefe;Hodge;6970;60920;74494;75699;1;1
11;Elliott;Britt;6653;55755;83678;67822;1;1
12;Nash;Franklin;6194;66684;55138;66158;1;1
13;Carter;Waller;5326;59566;57366;66786;1;1
14;Charles;Alston;6278;53596;57516;79103;1;1
15;Haviva;Parker;6855;75230;66701;66009;1;1
16;Lareina;Holloway;7425;52738;77749;79724;1;1
17;Edward;Marks;5165;85612;72127;55757;1;1
18;Reuben;Roach;5016;57042;78482;50189;1;1
19;Amelia;Savage;7273;88839;59702;56251;1;1
20;Raja;Mcleod;5435;89305;57160;56104;1;1
21;Aaron;Tyson;6012;75101;82376;85144;1;1
22;Bevis;Benjamin;5606;87434;73685;71073;1;1
23;Dora;Payne;5830;74954;84636;55472;1;1
24;Brennan;Mcguire;7385;58411;63548;73180;1;1
25;Judith;Hoffman;7238;65198;55236;50993;1;1
26;Tanek;Osborn;5188;71022;65692;63405;1;1
27;Ashton;Nieves;6418;51229;70042;63911;1;1
28;Fiona;Morton;6914;82247;54944;56416;1;1
29;Lyle;Herring;6232;70641;78840;73857;1;1
30;Vielka;Guy;5517;68794;52978;89685;1;1
31;Keith;Blackwell;5772;76750;83093;58001;1;1
32;Beck;Howe;5830;84893;51604;61307;1;1
33;Lisandra;Graves;7444;59923;78446;74954;1;1
34;Amanda;Good;7482;52794;54398;64332;1;1
35;Aladdin;Lara;5214;76697;81391;53840;1;1
36;Ulysses;Wolfe;6538;51061;72898;77310;1;1
37;Magee;Nguyen;6392;80953;76691;84111;1;1
38;Nelle;Jarvis;6197;75998;77485;56534;1;1
39;Wade;Drake;5215;74611;89264;80909;1;1
40;Travis;Evans;7339;84583;85752;82730;1;1
41;Katell;Long;5254;74495;61604;83826;1;1
42;Hope;Rios;6660;52538;69663;57141;1;1
43;Aaron;Baird;6546;57266;80318;52583;1;1
44;Nerea;Paul;6417;70955;72991;88934;1;1
45;Veda;Cantrell;6616;51479;61773;57403;1;1
46;Beverly;Savage;5529;74963;76189;74494;1;1
47;Ivory;Whitley;5727;63106;70407;69850;1;1
48;Thaddeus;Lynn;6588;70055;54455;50556;1;1
